geoid,name,MHHINC,MMHHINC_Error
14000US21111000201,"Census Tract 2.01, Jefferson, KY",27770,4057
14000US21111000202,"Census Tract 2.02, Jefferson, KY",43289,42434
14000US21111000300,"Census Tract 3, Jefferson, KY",40188,14192
14000US21111000400,"Census Tract 4, Jefferson, KY",37556,6467
14000US21111000600,"Census Tract 6, Jefferson, KY",30000,10131
14000US21111000700,"Census Tract 7, Jefferson, KY",22368,12699
14000US21111000800,"Census Tract 8, Jefferson, KY",35413,2009
14000US21111000900,"Census Tract 9, Jefferson, KY",20500,9070
14000US21111001000,"Census Tract 10, Jefferson, KY",44410,32884
14000US21111001100,"Census Tract 11, Jefferson, KY",37760,16126
14000US21111001200,"Census Tract 12, Jefferson, KY",22179,20164
14000US21111001400,"Census Tract 14, Jefferson, KY",35222,25333
14000US21111001500,"Census Tract 15, Jefferson, KY",32875,11016
14000US21111001600,"Census Tract 16, Jefferson, KY",39286,13297
14000US21111001700,"Census Tract 17, Jefferson, KY",36214,7331
14000US21111001800,"Census Tract 18, Jefferson, KY",13597,4911
14000US21111002100,"Census Tract 21, Jefferson, KY",26552,8705
14000US21111002300,"Census Tract 23, Jefferson, KY",26474,5558
14000US21111002401,"Census Tract 24.01, Jefferson, KY",21282,13092
14000US21111002402,"Census Tract 24.02, Jefferson, KY",55575,11468
14000US21111002700,"Census Tract 27, Jefferson, KY",21250,11248
14000US21111002800,"Census Tract 28, Jefferson, KY",36875,6243
14000US21111003000,"Census Tract 30, Jefferson, KY",9201,3186
14000US21111003501,"Census Tract 35.01, Jefferson, KY",16128,12432
14000US21111003502,"Census Tract 35.02, Jefferson, KY",11411,4626
14000US21111003600,"Census Tract 36, Jefferson, KY",32862,19472
14000US21111003700,"Census Tract 37, Jefferson, KY",28098,10633
14000US21111003800,"Census Tract 38, Jefferson, KY",41943,3325
14000US21111003900,"Census Tract 39, Jefferson, KY",34136,3816
14000US21111004000,"Census Tract 40, Jefferson, KY",44148,11746
14000US21111004100,"Census Tract 41, Jefferson, KY",31105,8197
14000US21111004301,"Census Tract 43.01, Jefferson, KY",23632,7459
14000US21111004302,"Census Tract 43.02, Jefferson, KY",34722,9307
14000US21111004400,"Census Tract 44, Jefferson, KY",38470,5433
14000US21111004500,"Census Tract 45, Jefferson, KY",45255,12474
14000US21111004600,"Census Tract 46, Jefferson, KY",49608,8841
14000US21111004900,"Census Tract 49, Jefferson, KY",29216,9275
14000US21111005000,"Census Tract 50, Jefferson, KY",21034,2408
14000US21111005100,"Census Tract 51, Jefferson, KY",25162,5391
14000US21111005200,"Census Tract 52, Jefferson, KY",36149,7367
14000US21111005300,"Census Tract 53, Jefferson, KY",23425,3564
14000US21111005600,"Census Tract 56, Jefferson, KY",47083,12708
14000US21111005901,"Census Tract 59.01, Jefferson, KY",9740,1261
14000US21111005902,"Census Tract 59.02, Jefferson, KY",42990,11512
14000US21111006200,"Census Tract 62, Jefferson, KY",39760,16902
14000US21111006300,"Census Tract 63, Jefferson, KY",53015,11986
14000US21111006400,"Census Tract 64, Jefferson, KY",53500,20972
14000US21111006500,"Census Tract 65, Jefferson, KY",29808,11505
14000US21111006600,"Census Tract 66, Jefferson, KY",37163,8430
14000US21111006800,"Census Tract 68, Jefferson, KY",73024,27157
14000US21111006900,"Census Tract 69, Jefferson, KY",68171,32376
14000US21111007000,"Census Tract 70, Jefferson, KY",71780,7097
14000US21111007101,"Census Tract 71.01, Jefferson, KY",,
14000US21111007102,"Census Tract 71.02, Jefferson, KY",50227,13331
14000US21111007400,"Census Tract 74, Jefferson, KY",60035,10180
14000US21111007501,"Census Tract 75.01, Jefferson, KY",152269,21880
14000US21111007502,"Census Tract 75.02, Jefferson, KY",150417,39245
14000US21111007601,"Census Tract 76.01, Jefferson, KY",54878,7561
14000US21111007602,"Census Tract 76.02, Jefferson, KY",53139,2998
14000US21111007603,"Census Tract 76.03, Jefferson, KY",56667,9706
14000US21111007700,"Census Tract 77, Jefferson, KY",57778,44962
14000US21111007800,"Census Tract 78, Jefferson, KY",71944,26597
14000US21111007900,"Census Tract 79, Jefferson, KY",80781,19748
14000US21111008100,"Census Tract 81, Jefferson, KY",57474,8927
14000US21111008201,"Census Tract 82.01, Jefferson, KY",82113,17499
14000US21111008202,"Census Tract 82.02, Jefferson, KY",53385,24446
14000US21111008300,"Census Tract 83, Jefferson, KY",75368,12849
14000US21111008400,"Census Tract 84, Jefferson, KY",89491,10954
14000US21111008500,"Census Tract 85, Jefferson, KY",70650,17882
14000US21111008700,"Census Tract 87, Jefferson, KY",158021,21962
14000US21111008800,"Census Tract 88, Jefferson, KY",83641,4738
14000US21111008900,"Census Tract 89, Jefferson, KY",104153,9816
14000US21111009001,"Census Tract 90.01, Jefferson, KY",36488,7437
14000US21111009002,"Census Tract 90.02, Jefferson, KY",44496,16383
14000US21111009103,"Census Tract 91.03, Jefferson, KY",35804,5896
14000US21111009105,"Census Tract 91.05, Jefferson, KY",49292,12972
14000US21111009106,"Census Tract 91.06, Jefferson, KY",50368,10165
14000US21111009300,"Census Tract 93, Jefferson, KY",69083,9660
14000US21111009401,"Census Tract 94.01, Jefferson, KY",73060,11058
14000US21111009402,"Census Tract 94.02, Jefferson, KY",67283,15057
14000US21111009600,"Census Tract 96, Jefferson, KY",86158,8309
14000US21111009700,"Census Tract 97, Jefferson, KY",69491,5650
14000US21111009800,"Census Tract 98, Jefferson, KY",88188,9775
14000US21111009900,"Census Tract 99, Jefferson, KY",84632,15914
14000US21111010001,"Census Tract 100.01, Jefferson, KY",105078,10406
14000US21111010004,"Census Tract 100.04, Jefferson, KY",58663,7624
14000US21111010005,"Census Tract 100.05, Jefferson, KY",72697,12711
14000US21111010006,"Census Tract 100.06, Jefferson, KY",74483,8940
14000US21111010007,"Census Tract 100.07, Jefferson, KY",87639,19051
14000US21111010008,"Census Tract 100.08, Jefferson, KY",67214,6688
14000US21111010102,"Census Tract 101.02, Jefferson, KY",119063,13228
14000US21111010103,"Census Tract 101.03, Jefferson, KY",63048,6554
14000US21111010104,"Census Tract 101.04, Jefferson, KY",60216,6918
14000US21111010309,"Census Tract 103.09, Jefferson, KY",105550,15531
14000US21111010312,"Census Tract 103.12, Jefferson, KY",141500,45891
14000US21111010313,"Census Tract 103.13, Jefferson, KY",147276,24285
14000US21111010314,"Census Tract 103.14, Jefferson, KY",117319,35344
14000US21111010315,"Census Tract 103.15, Jefferson, KY",108929,32253
14000US21111010316,"Census Tract 103.16, Jefferson, KY",132731,25677
14000US21111010317,"Census Tract 103.17, Jefferson, KY",162532,11319
14000US21111010318,"Census Tract 103.18, Jefferson, KY",90107,6843
