geoid,name,MGR,MGR_Error
05000US21111,"Jefferson County, KY",954,8
14000US21111000201,"Census Tract 2.01, Jefferson, KY",829,231
14000US21111000202,"Census Tract 2.02, Jefferson, KY",840,195
14000US21111000300,"Census Tract 3, Jefferson, KY",877,173
14000US21111000400,"Census Tract 4, Jefferson, KY",645,49
14000US21111000600,"Census Tract 6, Jefferson, KY",648,226
14000US21111000700,"Census Tract 7, Jefferson, KY",820,131
14000US21111000800,"Census Tract 8, Jefferson, KY",808,134
14000US21111000900,"Census Tract 9, Jefferson, KY",587,194
14000US21111001000,"Census Tract 10, Jefferson, KY",932,88
14000US21111001100,"Census Tract 11, Jefferson, KY",673,154
14000US21111001200,"Census Tract 12, Jefferson, KY",1095,71
14000US21111001400,"Census Tract 14, Jefferson, KY",818,182
14000US21111001500,"Census Tract 15, Jefferson, KY",872,77
14000US21111001600,"Census Tract 16, Jefferson, KY",925,86
14000US21111001700,"Census Tract 17, Jefferson, KY",1050,72
14000US21111001800,"Census Tract 18, Jefferson, KY",627,383
14000US21111002100,"Census Tract 21, Jefferson, KY",792,91
14000US21111002300,"Census Tract 23, Jefferson, KY",743,64
14000US21111002401,"Census Tract 24.01, Jefferson, KY",686,126
14000US21111002402,"Census Tract 24.02, Jefferson, KY",894,334
14000US21111002700,"Census Tract 27, Jefferson, KY",769,193
14000US21111002800,"Census Tract 28, Jefferson, KY",942,86
14000US21111003000,"Census Tract 30, Jefferson, KY",411,329
14000US21111003501,"Census Tract 35.01, Jefferson, KY",829,64
14000US21111003502,"Census Tract 35.02, Jefferson, KY",186,49
14000US21111003600,"Census Tract 36, Jefferson, KY",863,305
14000US21111003700,"Census Tract 37, Jefferson, KY",711,102
14000US21111003800,"Census Tract 38, Jefferson, KY",974,83
14000US21111003900,"Census Tract 39, Jefferson, KY",882,58
14000US21111004000,"Census Tract 40, Jefferson, KY",850,168
14000US21111004100,"Census Tract 41, Jefferson, KY",674,66
14000US21111004301,"Census Tract 43.01, Jefferson, KY",715,32
14000US21111004302,"Census Tract 43.02, Jefferson, KY",740,38
14000US21111004400,"Census Tract 44, Jefferson, KY",673,50
14000US21111004500,"Census Tract 45, Jefferson, KY",892,199
14000US21111004600,"Census Tract 46, Jefferson, KY",792,70
14000US21111004900,"Census Tract 49, Jefferson, KY",914,146
14000US21111005000,"Census Tract 50, Jefferson, KY",763,140
14000US21111005100,"Census Tract 51, Jefferson, KY",603,109
14000US21111005200,"Census Tract 52, Jefferson, KY",823,80
14000US21111005300,"Census Tract 53, Jefferson, KY",838,37
14000US21111005600,"Census Tract 56, Jefferson, KY",777,157
14000US21111005901,"Census Tract 59.01, Jefferson, KY",217,28
