geoid,name,B25077001,"B25077001, Error"
14000US21111000201,"Census Tract 2.01, Jefferson, KY",45600,12679
14000US21111000202,"Census Tract 2.02, Jefferson, KY",72200,45906
14000US21111000300,"Census Tract 3, Jefferson, KY",53300,8930
14000US21111000400,"Census Tract 4, Jefferson, KY",83200,4451
14000US21111000600,"Census Tract 6, Jefferson, KY",57700,17993
14000US21111000700,"Census Tract 7, Jefferson, KY",66700,18282
14000US21111000800,"Census Tract 8, Jefferson, KY",83700,7218
14000US21111000900,"Census Tract 9, Jefferson, KY",67800,24299
14000US21111001000,"Census Tract 10, Jefferson, KY",81800,29905
14000US21111001100,"Census Tract 11, Jefferson, KY",90300,12071
14000US21111001200,"Census Tract 12, Jefferson, KY",57500,49651
14000US21111001400,"Census Tract 14, Jefferson, KY",118500,28449
14000US21111001500,"Census Tract 15, Jefferson, KY",64600,10088
14000US21111001600,"Census Tract 16, Jefferson, KY",83600,20713
14000US21111001700,"Census Tract 17, Jefferson, KY",59100,10448
14000US21111001800,"Census Tract 18, Jefferson, KY",53300,5695
14000US21111002100,"Census Tract 21, Jefferson, KY",37700,10055
14000US21111002300,"Census Tract 23, Jefferson, KY",35800,8376
14000US21111002401,"Census Tract 24.01, Jefferson, KY",,
14000US21111002402,"Census Tract 24.02, Jefferson, KY",63000,12923
14000US21111002700,"Census Tract 27, Jefferson, KY",39300,12796
14000US21111002800,"Census Tract 28, Jefferson, KY",54100,9029
14000US21111003000,"Census Tract 30, Jefferson, KY",,
14000US21111003501,"Census Tract 35.01, Jefferson, KY",,
14000US21111003502,"Census Tract 35.02, Jefferson, KY",76900,28738
14000US21111003600,"Census Tract 36, Jefferson, KY",85600,9730
14000US21111003700,"Census Tract 37, Jefferson, KY",83500,7077
14000US21111003800,"Census Tract 38, Jefferson, KY",69000,7651
14000US21111003900,"Census Tract 39, Jefferson, KY",81300,6704
14000US21111004000,"Census Tract 40, Jefferson, KY",75600,4512
14000US21111004100,"Census Tract 41, Jefferson, KY",87200,11961
14000US21111004301,"Census Tract 43.01, Jefferson, KY",77600,2761
14000US21111004302,"Census Tract 43.02, Jefferson, KY",82000,13361
