geoid,name,MMHC,MMHC_Error
14000US21111000201,"Census Tract 2.01, Jefferson, KY",564,290
14000US21111000202,"Census Tract 2.02, Jefferson, KY",643,296
14000US21111000300,"Census Tract 3, Jefferson, KY",731,174
14000US21111000400,"Census Tract 4, Jefferson, KY",667,71
14000US21111000600,"Census Tract 6, Jefferson, KY",695,133
14000US21111000700,"Census Tract 7, Jefferson, KY",728,117
14000US21111000800,"Census Tract 8, Jefferson, KY",660,155
14000US21111000900,"Census Tract 9, Jefferson, KY",590,49
14000US21111001000,"Census Tract 10, Jefferson, KY",843,31
14000US21111001100,"Census Tract 11, Jefferson, KY",695,162
14000US21111001200,"Census Tract 12, Jefferson, KY",890,420
14000US21111001400,"Census Tract 14, Jefferson, KY",882,80
14000US21111001500,"Census Tract 15, Jefferson, KY",782,171
14000US21111001600,"Census Tract 16, Jefferson, KY",879,79
14000US21111001700,"Census Tract 17, Jefferson, KY",862,147
14000US21111001800,"Census Tract 18, Jefferson, KY",589,264
14000US21111002100,"Census Tract 21, Jefferson, KY",689,85
14000US21111002300,"Census Tract 23, Jefferson, KY",642,78
14000US21111002401,"Census Tract 24.01, Jefferson, KY",664,70
14000US21111002402,"Census Tract 24.02, Jefferson, KY",702,262
14000US21111002700,"Census Tract 27, Jefferson, KY",758,243
14000US21111002800,"Census Tract 28, Jefferson, KY",781,132
14000US21111003000,"Census Tract 30, Jefferson, KY",425,337
14000US21111003501,"Census Tract 35.01, Jefferson, KY",832,68
14000US21111003502,"Census Tract 35.02, Jefferson, KY",195,66
14000US21111003600,"Census Tract 36, Jefferson, KY",817,99
14000US21111003700,"Census Tract 37, Jefferson, KY",692,75
14000US21111003800,"Census Tract 38, Jefferson, KY",899,70
14000US21111003900,"Census Tract 39, Jefferson, KY",871,54
14000US21111004000,"Census Tract 40, Jefferson, KY",753,117
14000US21111004100,"Census Tract 41, Jefferson, KY",689,102
14000US21111004301,"Census Tract 43.01, Jefferson, KY",721,33
14000US21111004302,"Census Tract 43.02, Jefferson, KY",755,43
14000US21111004400,"Census Tract 44, Jefferson, KY",705,42
14000US21111004500,"Census Tract 45, Jefferson, KY",943,93
14000US21111004600,"Census Tract 46, Jefferson, KY",840,60
14000US21111004900,"Census Tract 49, Jefferson, KY",941,126
14000US21111005000,"Census Tract 50, Jefferson, KY",774,101
14000US21111005100,"Census Tract 51, Jefferson, KY",619,114
14000US21111005200,"Census Tract 52, Jefferson, KY",898,83
14000US21111005300,"Census Tract 53, Jefferson, KY",846,37
14000US21111005600,"Census Tract 56, Jefferson, KY",802,113
14000US21111005901,"Census Tract 59.01, Jefferson, KY",218,28
14000US21111005902,"Census Tract 59.02, Jefferson, KY",975,168
14000US21111006200,"Census Tract 62, Jefferson, KY",838,133
